Beijing:[39.9042, 116.4074]
Tianjin:[39.3434, 117.3616]
Hebei:[38.0428, 114.5149]
Shanxi:[37.7749, 112.5477]
Inner Mongolia:[40.8174, 111.7656]
Liaoning:[41.9437, 123.5500]
吉林省：[43.8379, 125.9086]
Heilongjiang:[47.3566, 128.0474]
Shanghai:[31.2304, 121.4737]
Jiangsu:[32.0603, 118.7969]
Zhejiang:[30.2638, 120.1529]
安徽省：[31.8257, 117.2264]
Fujian:[26.0745, 119.2965]
Jiangxi:[28.6765, 115.9100]
Shandong:[36.0671, 119.2794]
Henan:[34.7476, 113.6246]
湖北省：[30.5928, 114.3055]
Hunan:[28.1124, 112.9911]
Guangdong:[23.3790, 113.7633]
Guangxi:[22.8152, 108.3276]
海南省：[20.0169, 110.3492]
重庆市：[29.4316, 106.9123]
Sichuan:[30.5728, 104.0668]
Guizhou:[26.5734, 106.5049]
Yunnan:[24.9740, 101.4869]
Tibet:[31.9686, 89.6152]
Shaanxi:[34.3416, 108.9398]
Gansu:[36.0611, 103.8343]
Qinghai:[36.0611, 96.0855]
宁夏回族自治区：[37.1988, 106.1581]
Xinjiang:[41.1295, 85.2401]
Taiwan:[23.6978, 120.9605]
Hongkong:[22.3193, 114.1694]
Macao:[22.1987, 113.5439]
